,Place of interest,type of place,place address,Bicimad station,Station Location
0,Consulado de Argentina,embajada/consulado,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5
1,Consulado de Belice,embajada/consulado,CALLE TALAVERA 9,148 - Serrano 210,Calle Serrano nº 210
2,Consulado de Bolivia,embajada/consulado,CALLE AVIADOR LINDBERGH 3,146 - María Francisca 1,Calle María Francisca nº 1
3,Consulado de Brasil,embajada/consulado,CALLE GOYA 5 y 7 pasaje,93 - Plaza de Colón,Calle Goya nº 1
4,Consulado de Bélgica,embajada/consulado,PASEO CASTELLANA 18 PLANTA 6 Izquierda,104 - Castellana,Paseo de la Castellana nº 4
5,Consulado de Chile,embajada/consulado,CALLE RAFAEL CALVO 18 PLANTA 5,125 - General Martínez Campos ,Calle Fernández de la Hoz nº 29
6,Consulado de Colombia,embajada/consulado,CALLE ALFONSO XI 6,65 - Antonio Maura,Calle Antonio Maura nº 15
7,Consulado de Costa Rica,embajada/consulado,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,134 - Agustín de Betancourt,Calle María de Guzmán nº 58
8,Consulado de Cuba,embajada/consulado,PASEO LA HABANA 194 Entrada por calle Macarena,254 - Pío XII,Avenida Pío XII nº 3
9,Consulado de Ecuador,embajada/consulado,CALLE COMANDANTE AZCARRAGA 2,254 - Pío XII,Avenida Pío XII nº 3
10,Consulado de El Salvador,embajada/consulado,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
11,Consulado de Etiopía,embajada/consulado,CALLE VELAZQUEZ 3 PLANTA 4,102 - Velázquez,Calle Alcalá nº 95
12,Consulado de Francia,embajada/consulado,CALLE MARQUES DE LA ENSENADA 10 C,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
13,Consulado de Gambia,embajada/consulado,CALLE ALFONSO XII 46,68 - Espalter,Calle Espalter nº 1
14,Consulado de Jamaica,embajada/consulado,CALLE JUAN DE MENA 6 PLANTA Bajo A,65 - Antonio Maura,Calle Antonio Maura nº 15
15,Consulado de Macedonia,embajada/consulado,CALLE CAPITAN HAYA 60 PLANTA 6,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
16,Consulado de Mali,embajada/consulado,CALLE ZURBANO 29 PLANTA 2 Izquierda,198 - Rubén Darío,Glorieta Rubén Darío 2
17,Consulado de Marruecos,embajada/consulado,CALLE LEIZARAN 31,147 - Doctor Arce 45,Avenida del Doctor Arce nº 45
18,Consulado de Mongolia,embajada/consulado,PASEO CASTELLANA 95 PLANTA 15,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
19,Consulado de Mónaco,embajada/consulado,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
20,Consulado de Nicaragua,embajada/consulado,CALLE PUERTO DE SANTA MARIA 73 B,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
21,Consulado de Omán,embajada/consulado,CALLE LIGULA 6 PLANTA 2 H,158 - Alberto Alcocer,Avenida de Alberto Alcocer nº 22
22,Consulado de Panamá,embajada/consulado,PASEO PINTOR ROSALES 30,113 - Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
23,Consulado de Paraguay,embajada/consulado,AVENIDA ALBERTO ALCOCER 45 PLANTA 1,254 - Pío XII,Avenida Pío XII nº 3
24,Consulado de Perú,embajada/consulado,PASEO PINTOR ROSALES 30,113 - Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
25,Consulado de Reino Unido de Gran Bretaña e Irlanda del Norte,embajada/consulado,PASEO CASTELLANA 259 D Torre Espacio,248 - Torre Cepsa,Calle Sinesio Delgado nº 2
